n,p,r,s,alg,time
2000,0.3,2000,15210,Dinic,0.983018
2000,0.3,2000,15210,EK,63.8306
2000,0.3,2000,15210,MPM,1.88262
2000,0.5,2000,23450,Dinic,1.29138
2000,0.5,2000,23450,EK,172.56
2000,0.5,2000,23450,MPM,3.19425
2000,0.7,2000,33670,Dinic,0.851491
2000,0.7,2000,33670,EK,233.605
2000,0.7,2000,33670,MPM,3.19971
3000,0.3,3000,28600,Dinic,0.822068
3000,0.3,3000,28600,EK,89.1697
3000,0.3,3000,28600,MPM,2.16163
3000,0.5,3000,25710,Dinic,0.733985
3000,0.5,3000,25710,EK,295.347
3000,0.5,3000,25710,MPM,5.08891
3000,0.7,3000,30210,Dinic,0.632408
3000,0.7,3000,30210,EK,957.468
3000,0.7,3000,30210,MPM,17.3507
5000,0.3,5000,45910,Dinic,10.1438
5000,0.3,5000,45910,EK,1000.57
5000,0.3,5000,45910,MPM,17.1738
5000,0.5,5000,55690,Dinic,12.0983
5000,0.5,5000,55690,EK,1000.17
5000,0.5,5000,55690,MPM,24.4357
5000,0.7,5000,60460,Dinic,1.41616
5000,0.7,5000,60460,EK,1000.08
5000,0.7,5000,60460,MPM,37.0175
9000,0.3,9000,79130,Dinic,10.3055
9000,0.3,9000,79130,EK,1000.21
9000,0.3,9000,79130,MPM,50.9153
9000,0.5,9000,80710,Dinic,17.9503
9000,0.5,9000,80710,EK,1001.04
9000,0.5,9000,80710,MPM,113.31
9000,0.7,9000,75890,Dinic,16.8369
9000,0.7,9000,75890,EK,1000.66
9000,0.7,9000,75890,MPM,259.124
